Potential Skills Analysis
============================================================

Total jobs analyzed: 10447
Minimum frequency: 50
Minimum job count: 10

Term                           Jobs       Total      Avg/Job   
------------------------------------------------------------
data                           2438       5444       2.23      
engineer                       1019       1683       1.65      
financial                      989        1473       1.49      
analyst                        921        1499       1.63      
well-established               817        819        1.0       
commercial                     749        987        1.32      
digital                        739        1052       1.42      
specialist                     588        735        1.25      
engineering                    564        745        1.32      
hybrid working                 545        557        1.02      
who are                        532        538        1.01      
for someone                    520        521        1.0       
key role                       516        517        1.0       
the company                    506        533        1.05      
high-quality                   479        481        1.0       
they are                       449        482        1.07      
closely with                   442        445        1.01      
hands-on                       433        436        1.01      
000 per                        420        420        1.0       
fast-paced                     412        413        1.0       
recruiting for                 403        407        1.01      
candidate will                 384        388        1.01      
role you                       382        384        1.01      
fantastic opportunity          379        380        1.0       
software                       369        514        1.39      
team and                       365        368        1.01      
support the                    347        362        1.04      
the successful                 335        339        1.01      
the business                   329        342        1.04      
analytics                      327        411        1.26      
data analyst                   325        529        1.63      
someone who                    323        332        1.03      
developer                      321        584        1.82      
maintaining                    319        320        1.0       
and the                        318        320        1.01      
platform                       314        396        1.26      
ambitious                      314        320        1.02      
will play                      312        313        1.0       
security                       310        547        1.76      
environment.                   309        311        1.01      
partnering with                306        308        1.01      
forward-thinking               306        306        1.0       
location london                306        306        1.0       
business.                      306        311        1.02      
what you                       305        309        1.01      
job type                       302        302        1.0       
the office                     294        296        1.01      
the opportunity                291        296        1.02      
maintain                       290        295        1.02      
retail                         289        370        1.28      
are currently                  287        292        1.02      
where you                      283        286        1.01      
excellent opportunity          282        282        1.0       
fast-growing                   281        284        1.01      
pivotal role                   280        280        1.0       
description                    276        284        1.03      
you are                        276        283        1.03      
you looking                    275        279        1.01      
basis.                         274        276        1.01      
are working                    270        270        1.0       
passionate about               270        270        1.0       
day-to-day                     267        269        1.01      
details                        267        269        1.01      
detail-oriented                265        265        1.0       
on-site                        263        274        1.04      
our team                       262        271        1.03      
customer service               261        340        1.3       
data and                       260        283        1.09      
new career                     258        258        1.0       
contract type                  256        256        1.0       
supporting the                 256        260        1.02      
shaping                        253        254        1.0       
the world                      252        262        1.04      
maintenance                    251        310        1.24      
their team                     249        254        1.02      
type permanent                 249        249        1.0       
you ready                      247        247        1.0       
lead the                       246        248        1.01      
successful candidate           246        246        1.0       
birmingham                     246        287        1.17      
available                      245        255        1.04      
manager you                    243        244        1.0       
infrastructure                 240        297        1.24      
join the                       239        240        1.0       
design and                     236        242        1.03      
per day                        234        238        1.02      
career programme               234        234        1.0       
are recruiting                 234        238        1.02      
financial services             233        270        1.16      
with strong                    233        233        1.0       
data analysis                  233        235        1.01      
data-driven                    231        232        1.0       
and data                       231        240        1.04      
growth.                        229        230        1.0       
the future                     227        227        1.0       
passion for                    227        228        1.0       
work with                      226        229        1.01      
please note                    225        228        1.01      
ideal for                      224        224        1.0       
solutions.                     224        225        1.0       
take ownership                 220        222        1.01      
cutting-edge                   219        220        1.0       
london hybrid                  219        221        1.01      
the heart                      218        218        1.0       
and support                    217        221        1.02      
you have                       216        226        1.05      
work closely                   216        216        1.0       
efficient                      216        218        1.01      
permanent role                 212        212        1.0       
and commercial                 209        211        1.01      
known for                      209        209        1.0       
start date                     208        208        1.0       
analytical and                 208        210        1.01      
cloud                          206        269        1.31      
and deliver                    205        208        1.01      
proactive and                  204        204        1.0       
and can                        201        201        1.0       
technician                     200        341        1.71      
inside ir35                    199        213        1.07      
with our                       198        199        1.01      
competitive salary             198        199        1.01      
the team                       197        202        1.03      
excellence                     197        199        1.01      
leading global                 196        198        1.01      
who thrives                    195        195        1.0       
rapidly                        195        195        1.0       
specialised                    194        194        1.0       
ensuring the                   194        194        1.0       
specialising                   193        193        1.0       
the next                       193        194        1.01      
manager location               190        190        1.0       
working closely                188        188        1.0       
salary range                   188        188        1.0       
detail orientated              187        187        1.0       
someone with                   186        186        1.0       
azure                          185        285        1.54      
around you                     185        185        1.0       
sector.                        185        191        1.03      
can communicate                184        184        1.0       
those around                   184        184        1.0       
you you                        184        184        1.0       
and place                      184        184        1.0       
well with                      183        183        1.0       
you could                      183        183        1.0       
could have                     183        183        1.0       
our specialised                183        183        1.0       
specialised data               183        183        1.0       
which looks                    183        183        1.0       
are detail                     182        182        1.0       
orientated perceptive          182        182        1.0       
perceptive organised           182        182        1.0       
organised competent            182        182        1.0       
competent analytical           182        182        1.0       
communicate well               182        182        1.0       
with those                     182        182        1.0       
truly rewarding                182        182        1.0       
rewarding future               182        182        1.0       
programme which                182        182        1.0       
place qualified                182        182        1.0       
you are detail                 182        182        1.0       
are detail orientated          182        182        1.0       
detail orientated perceptive   182        182        1.0       
our specialised data           182        182        1.0       
this position                  181        185        1.02      
shape the                      180        182        1.01      
services.                      180        181        1.01      
the ideal                      180        181        1.01      
across multiple                179        180        1.01      
growth and                     178        181        1.02      
data engineer                  177        311        1.76      
decision-making                177        177        1.0       
and supporting                 175        175        1.0       
technology and                 174        175        1.01      
your career                    174        178        1.02      
professional services          174        184        1.06      
the design                     173        174        1.01      
the organisation               171        179        1.05      
skills and                     171        174        1.02      
strategy and                   170        171        1.01      
role where                     168        169        1.01      
office-based                   167        172        1.03      
client based                   167        167        1.0       
and ensuring                   167        167        1.0       
excellent benefits             167        167        1.0       
benefits.                      167        167        1.0       
efficiency                     166        178        1.07      
london.                        166        171        1.03      
systems and                    165        167        1.01      
daily                          165        170        1.03      
finance team                   164        169        1.03      
learning                       164        224        1.37      
will have                      163        169        1.04      
high-performing                163        165        1.01      
ideal candidate                163        163        1.0       
will work                      162        165        1.02      
operations.                    162        163        1.01      
client details                 162        162        1.0       
high-impact                    161        161        1.0       
uk.                            161        163        1.01      
social                         160        211        1.32      
business partner               160        245        1.53      
dynamic and                    158        160        1.01      
office based                   157        158        1.01      
note this                      157        157        1.0       
working hours                  156        157        1.01      
development and                156        159        1.02      
000-                           156        156        1.0       
end-to-end                     156        159        1.02      
for our                        156        156        1.0       
award-winning                  156        161        1.03      
the uk.                        155        157        1.01      
for you                        154        157        1.02      
main                           154        156        1.01      
the finance                    153        168        1.1       
platforms                      153        163        1.07      
science                        153        174        1.14      
into the                       152        154        1.01      
currently recruiting           152        152        1.0       
your new                       151        237        1.57      
organisation.                  151        152        1.01      
their growing                  150        150        1.0       
analysis.                      150        150        1.0       
and maintain                   149        152        1.02      
commercially                   149        154        1.03      
city                           148        164        1.11      
with some                      147        147        1.0       
role involves                  146        146        1.0       
salary competitive             146        147        1.01      
and detail-oriented            145        145        1.0       
great opportunity              145        145        1.0       
paid                           145        227        1.57      
law firm                       145        155        1.07      
location hybrid                144        144        1.0       
pay rate                       144        144        1.0       
role for                       144        144        1.0       
part-time                      144        187        1.3       
the forefront                  142        142        1.0       
crucial                        142        142        1.0       
designed for                   141        141        1.0       
the right                      141        168        1.19      
and benefits.                  141        141        1.0       
benefit from                   140        140        1.0       
across all                     140        140        1.0       
contract.                      139        139        1.0       
using our                      139        139        1.0       
engineer with                  139        142        1.02      
for its                        139        139        1.0       
estate agency                  138        176        1.28      
000 benefits                   137        137        1.0       
clients.                       137        140        1.02      
job description                137        138        1.01      
role overview                  136        136        1.0       
flexibility                    136        140        1.03      
will include                   135        135        1.0       
for this                       135        138        1.02      
assist and                     135        135        1.0       
qualified candidates           135        135        1.0       
37.5                           135        136        1.01      
000 and                        135        135        1.0       
who can                        134        135        1.01      
this using                     134        134        1.0       
analyst career                 134        134        1.0       
candidates into                134        134        1.0       
career pathway                 134        134        1.0       
data analysis.                 134        134        1.0       
analysis. please               134        134        1.0       
this career                    134        134        1.0       
career program                 134        134        1.0       
using our specialised          134        134        1.0       
specialised data analyst       134        134        1.0       
data analyst career            134        134        1.0       
analyst career programme       134        134        1.0       
data analysis. please          134        134        1.0       
analysis. please note          134        134        1.0       
compliance with                134        134        1.0       
business development           134        200        1.49      
and play                       133        133        1.0       
lead and                       132        132        1.0       
permanent basis.               132        132        1.0       
role with                      131        131        1.0       
search for                     131        131        1.0       
partner with                   131        131        1.0       
the delivery                   131        131        1.0       
